ID;Description
GO:0022402;cell cycle process
GO:0000280;nuclear division
GO:0048285;organelle fission
GO:0098813;nuclear chromosome segregation
GO:0007059;chromosome segregation
GO:0051321;meiotic cell cycle
GO:0000819;sister chromatid segregation
GO:1903047;mitotic cell cycle process
GO:0000278;mitotic cell cycle
GO:0140014;mitotic nuclear division
GO:0000226;microtubule cytoskeleton organization
GO:0000070;mitotic sister chromatid segregation
GO:0051301;cell division
GO:0007017;microtubule-based process
GO:1903046;meiotic cell cycle process
GO:0051276;chromosome organization
GO:0045132;meiotic chromosome segregation
GO:0140013;meiotic nuclear division
GO:1902850;microtubule cytoskeleton organization involved in mitosis
GO:0007010;cytoskeleton organization
GO:0007052;mitotic spindle organization
GO:0051306;mitotic sister chromatid separation
GO:0051726;regulation of cell cycle
GO:0051303;establishment of chromosome localization
GO:0010564;regulation of cell cycle process
GO:0007051;spindle organization
GO:0051656;establishment of organelle localization
GO:0051304;chromosome separation
GO:0009790;embryo development
GO:0050000;chromosome localization
GO:0070192;chromosome organization involved in meiotic cell cycle
GO:0051640;organelle localization
GO:0010965;regulation of mitotic sister chromatid separation
GO:0051783;regulation of nuclear division
GO:0051785;positive regulation of nuclear division
GO:1905818;regulation of chromosome separation
GO:0070925;organelle assembly
GO:0090068;positive regulation of cell cycle process
GO:0051983;regulation of chromosome segregation
GO:0061983;meiosis II cell cycle process
GO:0033047;regulation of mitotic sister chromatid segregation
GO:0031023;microtubule organizing center organization
GO:0045787;positive regulation of cell cycle
GO:0007091;metaphase/anaphase transition of mitotic cell cycle
GO:0031122;cytoplasmic microtubule organization
GO:0051446;positive regulation of meiotic cell cycle
GO:0033045;regulation of sister chromatid segregation
GO:1903829;positive regulation of cellular protein localization
GO:0044784;metaphase/anaphase transition of cell cycle
GO:1901988;negative regulation of cell cycle phase transition
GO:0044770;cell cycle phase transition
GO:0009792;embryo development ending in birth or egg hatching
GO:0033043;regulation of organelle organization
GO:0022412;cellular process involved in reproduction in multicellular organism
GO:0007276;gamete generation
GO:0045143;homologous chromosome segregation
GO:1901987;regulation of cell cycle phase transition
GO:0007088;regulation of mitotic nuclear division
GO:0044772;mitotic cell cycle phase transition
GO:0065004;protein-DNA complex assembly
GO:0007098;centrosome cycle
GO:0030071;regulation of mitotic metaphase/anaphase transition
GO:0051298;centrosome duplication
GO:0048565;digestive tract development
GO:0055123;digestive system development
GO:0003006;developmental process involved in reproduction
GO:0034502;protein localization to chromosome
GO:0007292;female gamete generation
GO:0019953;sexual reproduction
GO:0051445;regulation of meiotic cell cycle
GO:0071824;protein-DNA complex subunit organization
GO:0032880;regulation of protein localization
GO:0034622;cellular protein-containing complex assembly
GO:0051293;establishment of spindle localization
GO:0007346;regulation of mitotic cell cycle
GO:1902099;regulation of metaphase/anaphase transition of cell cycle
GO:0044703;multi-organism reproductive process
GO:0051653;spindle localization
GO:1903827;regulation of cellular protein localization
GO:0048513;animal organ development
GO:0035295;tube development
GO:0033044;regulation of chromosome organization
GO:1901991;negative regulation of mitotic cell cycle phase transition
GO:0007127;meiosis I
GO:0070507;regulation of microtubule cytoskeleton organization
GO:1901990;regulation of mitotic cell cycle phase transition
GO:0051225;spindle assembly
GO:0010948;negative regulation of cell cycle process
GO:0045930;negative regulation of mitotic cell cycle
GO:0048566;embryonic digestive tract development
GO:0007131;reciprocal meiotic recombination
GO:0035825;homologous recombination
GO:0003002;regionalization
GO:0032886;regulation of microtubule-based process
GO:0007389;pattern specification process
GO:0010638;positive regulation of organelle organization
GO:0009952;anterior/posterior pattern specification
GO:0040001;establishment of mitotic spindle localization
GO:0035282;segmentation
GO:0061982;meiosis I cell cycle process
GO:0048568;embryonic organ development
GO:0045786;negative regulation of cell cycle
GO:0048546;digestive tract morphogenesis
GO:0007163;establishment or maintenance of cell polarity
GO:0051231;spindle elongation
GO:0051984;positive regulation of chromosome segregation
GO:2001252;positive regulation of chromosome organization
GO:0007093;mitotic cell cycle checkpoint
GO:0007281;germ cell development
GO:0065003;protein-containing complex assembly
GO:0040038;polar body extrusion after meiotic divisions
GO:0040020;regulation of meiotic nuclear division
GO:0032504;multicellular organism reproduction
GO:0033206;meiotic cytokinesis
GO:0051784;negative regulation of nuclear division
GO:0010639;negative regulation of organelle organization
GO:0007143;female meiotic nuclear division
GO:0048469;cell maturation
GO:0007062;sister chromatid cohesion
GO:0051294;establishment of spindle orientation
GO:0048609;multicellular organismal reproductive process
GO:0035239;tube morphogenesis
GO:0048557;embryonic digestive tract morphogenesis
GO:2000243;positive regulation of reproductive process
GO:0048477;oogenesis
GO:0021700;developmental maturation
GO:0040025;vulval development
GO:0061640;cytoskeleton-dependent cytokinesis
GO:0048569;post-embryonic animal organ development
GO:0000075;cell cycle checkpoint
GO:2000241;regulation of reproductive process
GO:0048562;embryonic organ morphogenesis
GO:0051307;meiotic chromosome separation
GO:2001251;negative regulation of chromosome organization
GO:0009887;animal organ morphogenesis
