ID;Description
GO:0098813;nuclear chromosome segregation
GO:0007059;chromosome segregation
GO:0000723;telomere maintenance
GO:0032200;telomere organization
GO:0000819;sister chromatid segregation
GO:0071214;cellular response to abiotic stimulus
GO:0104004;cellular response to environmental stimulus
GO:0000070;mitotic sister chromatid segregation
GO:0071479;cellular response to ionizing radiation
GO:0060249;anatomical structure homeostasis
GO:0071478;cellular response to radiation
GO:0051310;metaphase plate congression
GO:0048285;organelle fission
GO:0010171;body morphogenesis
GO:0051303;establishment of chromosome localization
GO:0031497;chromatin assembly
GO:0007350;blastoderm segmentation
GO:0048732;gland development
GO:0006259;DNA metabolic process
GO:0007218;neuropeptide signaling pathway
GO:0050000;chromosome localization
GO:0009880;embryonic pattern specification
GO:0000280;nuclear division
GO:0045132;meiotic chromosome segregation
GO:0051053;negative regulation of DNA metabolic process
GO:0010212;response to ionizing radiation
GO:0006323;DNA packaging
GO:0045934;negative regulation of nucleobase-containing compound metabolic process
GO:0140014;mitotic nuclear division
GO:0006333;chromatin assembly or disassembly
GO:0009314;response to radiation
GO:0035282;segmentation
GO:0018990;ecdysis, chitin-based cuticle
GO:0071103;DNA conformation change
GO:0001655;urogenital system development
GO:0072001;renal system development
GO:0006338;chromatin remodeling
GO:0070828;heterochromatin organization
GO:0035287;head segmentation
GO:1905269;positive regulation of chromatin organization
