ID;Description
GO:0007369;gastrulation
GO:0030324;lung development
GO:0030323;respiratory tube development
GO:0060541;respiratory system development
GO:0060840;artery development
GO:0048844;artery morphogenesis
GO:0007498;mesoderm development
GO:0003007;heart morphogenesis
GO:0001655;urogenital system development
GO:0003205;cardiac chamber development
GO:0003206;cardiac chamber morphogenesis
GO:0060562;epithelial tube morphogenesis
GO:0043010;camera-type eye development
GO:0002262;myeloid cell homeostasis
GO:0009791;post-embryonic development
GO:0072001;renal system development
GO:0034101;erythrocyte homeostasis
GO:0003002;regionalization
GO:0045786;negative regulation of cell cycle
GO:0048872;homeostasis of number of cells
GO:0051090;regulation of DNA-binding transcription factor activity
GO:0001654;eye development
GO:0150063;visual system development
GO:0007389;pattern specification process
GO:0048880;sensory system development
GO:0060485;mesenchyme development
GO:0003208;cardiac ventricle morphogenesis
GO:0001701;in utero embryonic development
GO:0010632;regulation of epithelial cell migration
GO:0090130;tissue migration
GO:0010948;negative regulation of cell cycle process
GO:0007368;determination of left/right symmetry
GO:0030218;erythrocyte differentiation
GO:0009855;determination of bilateral symmetry
GO:0009799;specification of symmetry
GO:0043542;endothelial cell migration
GO:1903706;regulation of hemopoiesis
GO:0001707;mesoderm formation
GO:0003231;cardiac ventricle development
GO:1903708;positive regulation of hemopoiesis
GO:0048332;mesoderm morphogenesis
GO:0010594;regulation of endothelial cell migration
GO:0007346;regulation of mitotic cell cycle
GO:0007517;muscle organ development
GO:0001822;kidney development
GO:0010631;epithelial cell migration
GO:0090132;epithelium migration
GO:0014706;striated muscle tissue development
GO:0009952;anterior/posterior pattern specification
GO:0055008;cardiac muscle tissue morphogenesis
GO:0048565;digestive tract development
GO:0045930;negative regulation of mitotic cell cycle
GO:0060537;muscle tissue development
GO:0035050;embryonic heart tube development
GO:1901343;negative regulation of vasculature development
GO:0022407;regulation of cell-cell adhesion
GO:0048732;gland development
GO:0048754;branching morphogenesis of an epithelial tube
GO:0003151;outflow tract morphogenesis
GO:0030099;myeloid cell differentiation
GO:0071459;protein localization to chromosome, centromeric region
GO:0055123;digestive system development
GO:0048738;cardiac muscle tissue development
GO:0001656;metanephros development
GO:2000677;regulation of transcription regulatory region DNA binding
GO:0001667;ameboidal-type cell migration
GO:0048568;embryonic organ development
GO:0060415;muscle tissue morphogenesis
GO:0001974;blood vessel remodeling
GO:2000679;positive regulation of transcription regulatory region DNA binding
GO:0001704;formation of primary germ layer
GO:0055010;ventricular cardiac muscle tissue morphogenesis
GO:1903671;negative regulation of sprouting angiogenesis
GO:0002042;cell migration involved in sprouting angiogenesis
GO:0048644;muscle organ morphogenesis
GO:0002011;morphogenesis of an epithelial sheet
GO:0043473;pigmentation
GO:0048608;reproductive structure development
GO:0061458;reproductive system development
GO:0061138;morphogenesis of a branching epithelium
GO:0003229;ventricular cardiac muscle tissue development
GO:0035904;aorta development
GO:1902807;negative regulation of cell cycle G1/S phase transition
GO:1901988;negative regulation of cell cycle phase transition
GO:0048863;stem cell differentiation
GO:0043388;positive regulation of DNA binding
GO:0072009;nephron epithelium development
GO:0060425;lung morphogenesis
GO:0016525;negative regulation of angiogenesis
GO:0044770;cell cycle phase transition
GO:0033002;muscle cell proliferation
GO:2000181;negative regulation of blood vessel morphogenesis
GO:0048566;embryonic digestive tract development
GO:0002040;sprouting angiogenesis
GO:1903670;regulation of sprouting angiogenesis
GO:0051091;positive regulation of DNA-binding transcription factor activity
GO:0001763;morphogenesis of a branching structure
GO:0061564;axon development
GO:0035909;aorta morphogenesis
GO:0001702;gastrulation with mouth forming second
GO:0050673;epithelial cell proliferation
GO:0051101;regulation of DNA binding
GO:1901342;regulation of vasculature development
GO:0048771;tissue remodeling
GO:0090049;regulation of cell migration involved in sprouting angiogenesis
GO:0060976;coronary vasculature development
GO:0045995;regulation of embryonic development
GO:0030336;negative regulation of cell migration
GO:0043154;negative regulation of cysteine-type endopeptidase activity involved in apoptotic process
GO:0044772;mitotic cell cycle phase transition
GO:1901605;alpha-amino acid metabolic process
GO:0043281;regulation of cysteine-type endopeptidase activity involved in apoptotic process
GO:2000826;regulation of heart morphogenesis
GO:0050678;regulation of epithelial cell proliferation
GO:0014032;neural crest cell development
GO:2000117;negative regulation of cysteine-type endopeptidase activity
GO:2000146;negative regulation of cell motility
GO:1903037;regulation of leukocyte cell-cell adhesion
GO:0010634;positive regulation of epithelial cell migration
GO:0072006;nephron development
GO:1901991;negative regulation of mitotic cell cycle phase transition
GO:0072073;kidney epithelium development
GO:1901987;regulation of cell cycle phase transition
GO:0014031;mesenchymal cell development
GO:0032526;response to retinoic acid
GO:0003179;heart valve morphogenesis
GO:0045637;regulation of myeloid cell differentiation
GO:0001503;ossification
GO:0048864;stem cell development
GO:0048762;mesenchymal cell differentiation
GO:0014033;neural crest cell differentiation
GO:0010595;positive regulation of endothelial cell migration
GO:2000116;regulation of cysteine-type endopeptidase activity
GO:0045639;positive regulation of myeloid cell differentiation
GO:0045765;regulation of angiogenesis
GO:0010035;response to inorganic substance
GO:0048066;developmental pigmentation
GO:0001946;lymphangiogenesis
GO:0061162;establishment of monopolar cell polarity
GO:0021700;developmental maturation
GO:0042035;regulation of cytokine biosynthetic process
GO:0051271;negative regulation of cellular component movement
GO:0035272;exocrine system development
GO:0007159;leukocyte cell-cell adhesion
GO:0032682;negative regulation of chemokine production
GO:0036303;lymph vessel morphogenesis
GO:0048569;post-embryonic animal organ development
GO:0061339;establishment or maintenance of monopolar cell polarity
GO:0048562;embryonic organ morphogenesis
GO:0034405;response to fluid shear stress
GO:0019751;polyol metabolic process
GO:0001823;mesonephros development
GO:0003170;heart valve development
GO:0001947;heart looping
GO:0032835;glomerulus development
GO:2000134;negative regulation of G1/S transition of mitotic cell cycle
