ID;Description
GO:0006412;translation
GO:0002181;cytoplasmic translation
GO:0003723;RNA binding
GO:0003735;structural constituent of ribosome
GO:0005840;ribosome
GO:0004674;protein serine/threonine kinase activity
GO:0006468;protein phosphorylation
GO:0004672;protein kinase activity
GO:0004386;helicase activity
GO:0042254;ribosome biogenesis
GO:0016301;kinase activity
GO:0005730;nucleolus
GO:0016310;phosphorylation
GO:0022625;cytosolic large ribosomal subunit
GO:0016887;ATPase activity
GO:0006364;rRNA processing
GO:0005525;GTP binding
GO:0003724;RNA helicase activity
GO:0003924;GTPase activity
GO:0019843;rRNA binding
GO:0004812;aminoacyl-tRNA ligase activity
GO:0000049;tRNA binding
GO:0022627;cytosolic small ribosomal subunit
GO:0006418;tRNA aminoacylation for protein translation
GO:0003333;amino acid transmembrane transport
GO:0023052;signaling
GO:0006470;protein dephosphorylation
GO:0032508;DNA duplex unwinding
GO:0015171;amino acid transmembrane transporter activity
GO:0003676;nucleic acid binding
GO:0016853;isomerase activity
GO:0000027;ribosomal large subunit assembly
GO:0006865;amino acid transport
GO:0016874;ligase activity
GO:0004721;phosphoprotein phosphatase activity
GO:0004722;protein serine/threonine phosphatase activity
GO:0003678;DNA helicase activity
GO:0016779;nucleotidyltransferase activity
GO:0003755;peptidyl-prolyl cis-trans isomerase activity
GO:0032040;small-subunit processome
GO:0035556;intracellular signal transduction
GO:0000413;protein peptidyl-prolyl isomerization
GO:0015935;small ribosomal subunit
GO:0044732;mitotic spindle pole body
GO:0008094;DNA-dependent ATPase activity
GO:0002182;cytoplasmic translational elongation
GO:0016192;vesicle-mediated transport
GO:0006974;cellular response to DNA damage stimulus
GO:0015934;large ribosomal subunit
GO:0006886;intracellular protein transport
GO:0004518;nuclease activity
GO:0031410;cytoplasmic vesicle
GO:0042626;ATPase-coupled transmembrane transporter activity
GO:0006281;DNA repair
GO:0006457;protein folding
GO:0000790;nuclear chromatin
GO:0005886;plasma membrane
GO:0030117;membrane coat
GO:0004175;endopeptidase activity
GO:0010520;regulation of reciprocal meiotic recombination
GO:0032259;methylation
GO:0043044;ATP-dependent chromatin remodeling
GO:0055085;transmembrane transport
GO:0000463;maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
GO:0031122;cytoplasmic microtubule organization
GO:0004527;exonuclease activity
GO:0008080;N-acetyltransferase activity
GO:0018105;peptidyl-serine phosphorylation
GO:0008168;methyltransferase activity
GO:0010498;proteasomal protein catabolic process
GO:0008033;tRNA processing
GO:0017137;Rab GTPase binding
GO:0002183;cytoplasmic translational initiation
GO:0003677;DNA binding
GO:0060303;regulation of nucleosome density
GO:0010972;negative regulation of G2/M transition of mitotic cell cycle
GO:0016746;transferase activity, transferring acyl groups
GO:0030687;preribosome, large subunit precursor
GO:0043161;proteasome-mediated ubiquitin-dependent protein catabolic process
GO:0005856;cytoskeleton
GO:0007165;signal transduction
GO:0000470;maturation of LSU-rRNA
GO:0006096;glycolytic process
GO:0010499;proteasomal ubiquitin-independent protein catabolic process
GO:0000788;nuclear nucleosome
GO:0043231;intracellular membrane-bounded organelle
GO:0006888;endoplasmic reticulum to Golgi vesicle-mediated transport
GO:0061621;canonical glycolysis
GO:0090630;activation of GTPase activity
GO:0006413;translational initiation
GO:0032543;mitochondrial translation
GO:1902600;proton transmembrane transport
GO:0006414;translational elongation
GO:0045454;cell redox homeostasis
GO:0050790;regulation of catalytic activity
GO:0000028;ribosomal small subunit assembly
GO:0006260;DNA replication
