ID;Description
GO:0051301;cell division
GO:0007059;chromosome segregation
GO:0140014;mitotic nuclear division
GO:0008608;attachment of spindle microtubules to kinetochore
GO:0046785;microtubule polymerization
GO:0031109;microtubule polymerization or depolymerization
GO:0034502;protein localization to chromosome
GO:0010564;regulation of cell cycle process
GO:0051726;regulation of cell cycle
GO:0033043;regulation of organelle organization
GO:0000226;microtubule cytoskeleton organization
GO:1903047;mitotic cell cycle process
GO:0051303;establishment of chromosome localization
GO:0098813;nuclear chromosome segregation
GO:0000280;nuclear division
GO:0007017;microtubule-based process
GO:0090068;positive regulation of cell cycle process
GO:0048285;organelle fission
GO:0000278;mitotic cell cycle
GO:0051258;protein polymerization
GO:0000070;mitotic sister chromatid segregation
GO:0045787;positive regulation of cell cycle
GO:0070507;regulation of microtubule cytoskeleton organization
GO:0032273;positive regulation of protein polymerization
GO:0032886;regulation of microtubule-based process
GO:0051128;regulation of cellular component organization
GO:0000819;sister chromatid segregation
GO:0007096;regulation of exit from mitosis
GO:1902905;positive regulation of supramolecular fiber organization
GO:0050000;chromosome localization
GO:0032271;regulation of protein polymerization
GO:0010458;exit from mitosis
GO:0010638;positive regulation of organelle organization
GO:0051052;regulation of DNA metabolic process
GO:0097435;supramolecular fiber organization
GO:1902903;regulation of supramolecular fiber organization
GO:0051495;positive regulation of cytoskeleton organization
GO:0031334;positive regulation of protein complex assembly
GO:0001100;negative regulation of exit from mitosis
GO:0051983;regulation of chromosome segregation
GO:0051130;positive regulation of cellular component organization
GO:0044089;positive regulation of cellular component biogenesis
GO:0007010;cytoskeleton organization
