wb_gene_id,gene_name,time
WBGene00016716,acs-17,emb_lethal
WBGene00004806,skp-1,emb_lethal
WBGene00000923,daf-31,emb_lethal
WBGene00015562,C07D8.2,emb_lethal
WBGene00014250,ZK1307.9,emb_lethal
WBGene00010919,M117.3,emb_lethal
WBGene00008144,gasr-8,emb_lethal
WBGene00017920,jmjd-1.2,emb_lethal
WBGene00005020,sqv-2,emb_lethal
WBGene00000106,alg-2,emb_lethal
WBGene00013144,pno-1,emb_lethal
WBGene00001947,his-73,emb_lethal
WBGene00017300,rpc-2,emb_lethal
WBGene00011803,T16G12.1,emb_lethal
WBGene00006876,vab-10,emb_lethal
WBGene00003457,msp-64,emb_lethal
WBGene00016431,C35A11.4,emb_lethal
WBGene00004808,skr-2,emb_lethal
WBGene00016265,trhr-1,emb_lethal
WBGene00001900,his-26,emb_lethal
WBGene00007703,gbf-1,emb_lethal
WBGene00017797,symk-1,emb_lethal
WBGene00004409,rla-1,emb_lethal
WBGene00000248,ben-1,emb_lethal
WBGene00015752,C14B9.2,emb_lethal
WBGene00006381,tac-1,emb_lethal
WBGene00004013,pha-4,emb_lethal
WBGene00010846,M04B2.2,emb_lethal
WBGene00000254,bli-4,emb_lethal
WBGene00005704,sru-41,emb_lethal
WBGene00003391,mog-3,emb_lethal
WBGene00000145,apc-11,emb_lethal
WBGene00001194,egl-27,emb_lethal
WBGene00004197,prx-12,emb_lethal
WBGene00006805,unc-73,emb_lethal
WBGene00005025,sqv-7,emb_lethal
WBGene00004373,rme-1,emb_lethal
WBGene00001931,his-57,emb_lethal
WBGene00010637,K07F5.12,emb_lethal
WBGene00001933,his-59,emb_lethal
WBGene00008781,rpoa-2,emb_lethal
WBGene00010757,pad-2,emb_lethal
WBGene00004953,spd-2,emb_lethal
WBGene00020404,T10B11.8,emb_lethal
WBGene00015581,C07H6.4,emb_lethal
WBGene00009364,F33H1.3,emb_lethal
WBGene00018849,spt-16,emb_lethal
WBGene00008262,ril-1,emb_lethal
WBGene00009595,cbp-3,emb_lethal
WBGene00022192,Y71H2B.2,emb_lethal
WBGene00007078,AC8.6,emb_lethal
WBGene00009575,F40F8.1,emb_lethal
WBGene00017075,nap-1,emb_lethal
WBGene00000409,cdk-8,emb_lethal
WBGene00001892,his-18,emb_lethal
WBGene00006529,tba-2,emb_lethal
WBGene00019289,kcc-3,emb_lethal
WBGene00006731,uev-2,emb_lethal
WBGene00009712,F44G4.2,emb_lethal
WBGene00020516,T15B7.1,emb_lethal
WBGene00011734,mlc-5,emb_lethal
WBGene00006540,tbg-1,emb_lethal
WBGene00021465,ekl-7,emb_lethal
WBGene00010621,egg-6,emb_lethal
WBGene00004426,rpl-14,emb_lethal
WBGene00018926,F56A11.6,emb_lethal
WBGene00011638,ostb-1,emb_lethal
WBGene00006595,top-1,emb_lethal
WBGene00002077,imb-3,emb_lethal
WBGene00008053,cdc-48.2,emb_lethal
WBGene00013025,vha-13,emb_lethal
WBGene00000158,apg-1,emb_lethal
WBGene00001340,etr-1,emb_lethal
WBGene00001039,dnj-21,emb_lethal
WBGene00010279,letm-1,emb_lethal
WBGene00000728,col-155,emb_lethal
WBGene00044072,ham-3,emb_lethal
WBGene00000235,baf-1,emb_lethal
WBGene00006584,tni-1,emb_lethal
WBGene00011348,T01H3.2,emb_lethal
WBGene00006889,pfd-3,emb_lethal
WBGene00007900,C33D9.6,emb_lethal
WBGene00004419,rpl-7A,emb_lethal
WBGene00002261,ldb-1,emb_lethal
WBGene00015297,sco-1,emb_lethal
WBGene00044180,C47E8.11,emb_lethal
WBGene00018152,acs-4,emb_lethal
WBGene00015551,C06G3.5,emb_lethal
WBGene00011305,R186.1,emb_lethal
WBGene00017360,F10E9.11,emb_lethal
WBGene00003515,myo-3,emb_lethal
WBGene00021808,Y53G8AM.8,emb_lethal
WBGene00013997,ZK550.3,emb_lethal
WBGene00003949,pbs-3,emb_lethal
WBGene00003831,nuo-1,emb_lethal
WBGene00022617,ZC477.2,emb_lethal
WBGene00021469,Y39G10AR.11,emb_lethal
WBGene00018434,ceh-81,emb_lethal
WBGene00003048,lit-1,emb_lethal
WBGene00011971,lron-9,emb_lethal
WBGene00017309,F09F9.4,emb_lethal
WBGene00017746,F23F1.5,emb_lethal
WBGene00001193,egl-26,emb_lethal
WBGene00002045,icd-1,emb_lethal
WBGene00018958,F56C11.6,emb_lethal
WBGene00012115,T28B8.4,emb_lethal
WBGene00018007,F33D11.10,emb_lethal
WBGene00006465,fntb-1,emb_lethal
WBGene00004238,ptr-24,emb_lethal
WBGene00006538,tbb-4,emb_lethal
WBGene00013443,such-1,emb_lethal
WBGene00011309,R186.8,emb_lethal
WBGene00019051,srz-23,emb_lethal
WBGene00000659,col-84,emb_lethal
WBGene00003229,mex-3,emb_lethal
WBGene00011334,mrps-14,emb_lethal
WBGene00018294,atg-18,emb_lethal
WBGene00001946,his-72,emb_lethal
WBGene00004338,rfc-2,emb_lethal
WBGene00009993,F53F4.11,emb_lethal
WBGene00008476,E03H4.8,emb_lethal
WBGene00015207,B0495.8,emb_lethal
WBGene00004972,spe-26,emb_lethal
WBGene00012386,agef-1,emb_lethal
WBGene00000864,cya-2,emb_lethal
WBGene00020093,R144.3,emb_lethal
WBGene00003214,mel-32,emb_lethal
WBGene00001558,gdi-1,emb_lethal
WBGene00022182,swsn-3,emb_lethal
WBGene00014118,ZK858.5,emb_lethal
WBGene00006931,vps-26,emb_lethal
WBGene00003954,pcm-1,emb_lethal
WBGene00013380,memi-2,emb_lethal
WBGene00001570,gei-13,emb_lethal
WBGene00007376,C06C3.5,emb_lethal
WBGene00003676,nhr-86,emb_lethal
WBGene00011884,enol-1,emb_lethal
WBGene00015413,pdhb-1,emb_lethal
WBGene00008034,C39E9.11,emb_lethal
WBGene00012005,jun-1,emb_lethal
WBGene00000378,cct-2,emb_lethal
WBGene00004504,rpt-4,emb_lethal
WBGene00001674,gpa-12,emb_lethal
WBGene00010546,K03H1.11,emb_lethal
WBGene00017999,emc-6,emb_lethal
WBGene00003989,pfn-1,emb_lethal
WBGene00007971,rpb-3,emb_lethal
WBGene00020149,T01D1.4,emb_lethal
WBGene00001259,emb-5,emb_lethal
WBGene00013729,Y111B2A.3,emb_lethal
WBGene00019630,emb-1,emb_lethal
WBGene00000275,bub-1,emb_lethal
WBGene00003732,nhx-4,emb_lethal
WBGene00019678,K12H4.3,emb_lethal
WBGene00020035,egg-5,emb_lethal
WBGene00003389,mog-1,emb_lethal
WBGene00007000,tufm-1,emb_lethal
WBGene00019989,R09F10.8,emb_lethal
WBGene00021334,vps-4,emb_lethal
WBGene00000880,cyn-4,emb_lethal
WBGene00009992,F53F4.10,emb_lethal
WBGene00004014,phb-1,emb_lethal
WBGene00000247,bec-1,emb_lethal
WBGene00000705,col-131,emb_lethal
WBGene00022750,ZK484.4,emb_lethal
WBGene00021715,Y49F6B.2,emb_lethal
WBGene00003242,mig-6,emb_lethal
WBGene00011292,allo-1,emb_lethal
WBGene00004814,skr-8,emb_lethal
WBGene00022017,Y61A9LA.5,emb_lethal
WBGene00000516,cki-1,emb_lethal
WBGene00001869,him-10,emb_lethal
WBGene00006061,stl-1,emb_lethal
WBGene00001230,eif-3.G,emb_lethal
WBGene00019703,fbxb-41,emb_lethal
WBGene00000081,ads-1,emb_lethal
WBGene00012015,T25B9.9,emb_lethal
WBGene00022593,ZC328.3,emb_lethal
WBGene00017984,F32D1.5,emb_lethal
WBGene00003789,npp-3,emb_lethal
WBGene00022854,cin-4,emb_lethal
WBGene00011391,mrps-12,emb_lethal
WBGene00009122,tct-1,emb_lethal
WBGene00004816,skr-10,emb_lethal
WBGene00017673,icmt-1,emb_lethal
WBGene00010839,chl-1,emb_lethal
WBGene00000276,byn-1,emb_lethal
WBGene00017134,EEED8.3,emb_lethal
WBGene00007128,memb-1,emb_lethal
WBGene00004412,rpl-1,emb_lethal
