protein1,protein2,combined_score
2RSSE.1b,C09G12.8b,0.9
2RSSE.1b,F22E12.2,0.9
2RSSE.1b,Y51H4A.3,0.9
2RSSE.1b,K03D3.10,0.9
2RSSE.1b,R07G3.1,0.9
2RSSE.1b,K08F11.5,0.9
2RSSE.1b,Y32F6B.3,0.9
AC3.3,AC3.4,0.672
AC3.3,R05D11.1,0.672
AC3.3,Y69H2.3b,0.633
AC3.3,C37C3.6b.2,0.672
AC3.3,R05F9.10,0.633
AC3.3,C05D2.1a,0.672
AC3.3,Y39B6A.2a,0.672
AC3.3,F29G6.3f,0.633
AC3.3,ZK1067.7,0.672
AC3.3,C03A7.14,0.672
AC3.4,AC3.3,0.672
AC3.5a.2,R09E12.3,0.53
AC3.7,Y40B10A.2,0.633
AC7.2a.1,W07G4.5,0.756
AC7.2a.1,ZK792.6,0.756
AH6.1,F49H6.5,0.6
AH6.1,W09C3.4,0.65
AH6.1,C36B1.3,0.65
AH6.1,F25H2.5.1,0.65
AH6.1,Y77E11A.6a,0.65
AH6.1,C06A1.5,0.65
AH6.1,Y48E1A.1a,0.65
AH6.1,H43I07.2,0.65
AH6.1,F36A4.7,0.65
AH6.1,Y37H9A.6,0.65
AH6.1,F58A4.9.1,0.65
AH6.1,F43E2.2,0.65
AH6.1,R08D7.6a,0.65
AH6.1,ZK856.10,0.65
AH6.1,F26F4.11,0.65
AH6.1,ZC395.7,0.65
AH6.1,C27H5.1,0.65
AH6.1,C48E7.2.1,0.65
AH6.1,F32G8.6,0.6
AH6.1,C15H11.8.2,0.65
AH6.1,ZK593.1a,0.65
AH6.1,C42D4.8,0.65
AH6.1,C32E12.2,0.65
AH6.1,F23B2.13,0.65
AH6.1,Y54E10BR.6,0.65
AH6.1,W01G7.3.2,0.65
AH6.1,H27M09.2,0.65
AH6.1,Y47G6A.9,0.65
AH6.1,F25H5.3e,0.65
AH6.1,F14B4.3,0.65
AH6.1,T04D3.3a,0.65
AH6.1,Y97E10AR.5,0.65
AH6.1,R05G6.5,0.65
AH6.1,F09F7.3.1,0.65
AH6.1,E01F3.1i,0.65
AH6.1,W06E11.1,0.65
AH6.1,Y37E3.3,0.65
AH6.1,F49E2.1b,0.6
AH6.1,C26E6.4,0.65
AH6.5,C07H6.5,0.9
AH6.5,F56F3.1,0.9
AH6.5,F21H12.5,0.9
AH6.5,K02B9.2,0.9
AH6.5,C06A5.11,0.9
AH6.5,M88.6b,0.9
AH6.5,F20D12.1a,0.9
AH6.5,ZC317.7,0.542
AH6.5,F52G2.1b,0.9
AH6.5,W03C9.7a.1,0.9
AH6.5,F54C9.8,0.9
AH6.5,Y65B4BL.2,0.9
AH6.5,W02A2.7,0.9
AH6.5,Y49E10.14a.2,0.9
AH6.5,ZK757.3a.1,0.72
AH6.5,C36B1.8b,0.9
AH6.5,T12F5.3.1,0.9
AH6.5,F58G11.2a,0.9
AH6.5,ZC308.1a,0.9
AH6.5,K10D2.3,0.9
AH6.5,R06C7.1,0.9
AH6.5,C18G1.4a,0.9
AH6.5,F45E4.2,0.9
AH6.5,C36C9.1,0.9
AH6.5,ZK858.1,0.9
AH6.5,D2005.5,0.9
AH6.5,Y49E10.15,0.9
