protein1,protein2,combined_score
Q0045,YJL062W-A,0.581
Q0045,YML030W,0.808
Q0045,Q0250,0.9808
Q0045,YMR145C,0.9
Q0045,YOR065W,0.9
Q0045,YLR067C,0.536
Q0045,YMR080C,0.581
Q0045,YDL085W,0.9
Q0045,Q0070,0.54
Q0045,YPR191W,0.9536
Q0045,Q0065,0.54
Q0045,YLR163C,0.54
Q0045,YFR033C,0.9
Q0045,YHR086W,0.581
Q0045,YHR051W,0.9808
Q0045,Q0140,0.581
Q0045,YJL166W,0.9
Q0045,Q0275,0.9808
Q0045,Q0120,0.9
Q0045,YLR203C,0.581
Q0045,YEL024W,0.9
Q0045,YGR183C,0.9
Q0045,YBL045C,0.9808
Q0045,YLR038C,0.9297
Q0045,YDR119W-A,0.804
Q0045,YER154W,0.581
Q0045,YDR529C,0.9
Q0045,YIL157C,0.56
Q0045,YMR256C,0.9808
Q0045,YDL067C,0.9324
Q0045,YLR395C,0.9324
Q0045,YGL191W,0.9808
Q0045,Q0050,0.9
Q0045,YNR018W,0.808
Q0045,Q0060,0.54
Q0045,Q0105,0.9297
Q0045,YGR222W,0.585
Q0045,YNL052W,0.9324
Q0045,YML120C,0.9
Q0045,YHR001W-A,0.9
Q0045,YCL017C,0.59
Q0045,YDL044C,0.581
Q0045,YGL226W,0.54
Q0045,YIL111W,0.80288
Q0045,YGL187C,0.9808
Q0050,YBL045C,0.9
Q0050,YLR038C,0.9
Q0050,YDR529C,0.9
Q0050,Q0250,0.9
Q0050,YMR256C,0.9
Q0050,YMR145C,0.9
Q0050,YOR065W,0.9
Q0050,YDL067C,0.9
Q0050,YDL085W,0.9
Q0050,YLR395C,0.9
Q0050,Q0045,0.9
Q0050,YPR191W,0.9
Q0050,YGL191W,0.9
Q0050,YFR033C,0.9
Q0050,Q0105,0.9
Q0050,YNL052W,0.9
Q0050,YML120C,0.9
Q0050,YPR140W,0.662
Q0050,YHR051W,0.9
Q0050,YHR001W-A,0.9
Q0050,YJL166W,0.9
Q0050,Q0275,0.9
Q0050,Q0120,0.9
Q0050,YEL024W,0.9
Q0050,YAL024C,0.662
Q0050,YGR183C,0.9
Q0050,YGL187C,0.9
Q0060,Q0250,0.54
Q0060,YOR065W,0.54
Q0060,Q0070,0.54
Q0060,YPR191W,0.54
Q0060,Q0065,0.54
Q0060,YLR163C,0.54
Q0060,YFR033C,0.54
Q0060,YHR051W,0.54
Q0060,YJL166W,0.54
Q0060,Q0275,0.54
Q0060,YEL024W,0.54
Q0060,YGR183C,0.54
Q0060,YBL045C,0.54
Q0060,YLR038C,0.54
Q0060,YDR119W-A,0.54
Q0060,YDR529C,0.54
Q0060,YMR256C,0.54
Q0060,YDL067C,0.54
Q0060,YLR395C,0.54
Q0060,Q0045,0.54
Q0060,YGL191W,0.54
Q0060,Q0105,0.54
Q0060,YNL052W,0.54
Q0060,YHR001W-A,0.54
Q0060,YGL226W,0.54
Q0060,YIL111W,0.54
Q0060,YGL187C,0.66466
Q0065,Q0250,0.54
Q0065,YOR065W,0.54
Q0065,Q0070,0.54
Q0065,YPR191W,0.54
Q0065,YLR163C,0.54
Q0065,YFR033C,0.54
Q0065,YHR051W,0.54
Q0065,YJL166W,0.54
Q0065,Q0275,0.54
Q0065,YEL024W,0.54
Q0065,YGR183C,0.54
Q0065,YBL045C,0.54
Q0065,YLR038C,0.54
Q0065,YDR119W-A,0.54
Q0065,YDR529C,0.54
Q0065,YMR256C,0.54
Q0065,YDL067C,0.54
Q0065,YLR395C,0.54
Q0065,Q0045,0.54
Q0065,YGL191W,0.54
Q0065,Q0060,0.54
Q0065,Q0105,0.54
Q0065,YNL052W,0.54
Q0065,YHR001W-A,0.54
Q0065,YGL226W,0.54
Q0065,YIL111W,0.54
Q0065,YGL187C,0.66466
Q0070,Q0250,0.54
Q0070,YOR065W,0.54
Q0070,YPR191W,0.54
Q0070,Q0065,0.54
Q0070,YLR163C,0.54
Q0070,YFR033C,0.54
Q0070,YHR051W,0.54
Q0070,YJL166W,0.54
Q0070,Q0275,0.54
Q0070,YEL024W,0.54
Q0070,YGR183C,0.54
Q0070,YBL045C,0.54
Q0070,YLR038C,0.54
Q0070,YDR119W-A,0.54
Q0070,YDR529C,0.54
Q0070,YMR256C,0.54
Q0070,YDL067C,0.54
Q0070,YLR395C,0.54
Q0070,Q0045,0.54
Q0070,YGL191W,0.54
Q0070,Q0060,0.54
Q0070,Q0105,0.54
Q0070,YNL052W,0.54
Q0070,YHR001W-A,0.54
Q0070,YGL226W,0.54
Q0070,YIL111W,0.54
Q0070,YGL187C,0.66466
Q0080,YPL271W,0.944
Q0080,YPR036W,0.72
Q0080,YBL099W,0.98852
Q0080,YEL027W,0.72
Q0080,YDR298C,0.944
Q0080,YPR020W,0.72
Q0080,YPL078C,0.98852
Q0080,YLR393W,0.808
Q0080,YHR026W,0.72
Q0080,YLR067C,0.536
Q0080,YLR447C,0.72
Q0080,YJR121W,0.98852
Q0080,YKL016C,0.98852
Q0080,YBR127C,0.72
Q0080,YOR270C,0.72
Q0080,YMR267W,0.65
Q0080,YEL051W,0.72
Q0080,YOL077W-A,0.944
Q0080,YDR226W,0.9
Q0080,Q0085,0.98852
Q0080,YKL080W,0.72
Q0080,YDR322C-A,0.72
Q0080,YDL185W,0.72
Q0080,YML081C-A,0.944
Q0080,YPL234C,0.72
Q0080,YMR054W,0.72
Q0080,YBR039W,0.944
Q0080,YLR203C,0.581
Q0080,YOR020W-A,0.54
Q0080,YGR020C,0.72
Q0080,YLR295C,0.944
Q0080,Q0130,0.944
Q0080,YBR011C,0.65
Q0080,YDR377W,0.97284
Q0080,YOR332W,0.72
Q0080,YDL004W,0.944
Q0080,YER170W,0.9
Q0080,YHR039C-A,0.72
Q0080,YCL005W-A,0.72
Q0085,YPL271W,0.9959
Q0085,YEL027W,0.9
Q0085,YLR067C,0.536
Q0085,YLR447C,0.9
Q0085,YKL016C,0.9959
Q0085,YOL077W-A,0.944
Q0085,YKL080W,0.9
Q0085,YMR054W,0.9
Q0085,YOR020W-A,0.54
Q0085,YLR295C,0.98852
Q0085,YDR377W,0.95884
Q0085,YPR036W,0.9
Q0085,YPR020W,0.72
Q0085,YPL078C,0.9959
Q0085,YLR393W,0.808
Q0085,YBR127C,0.9
Q0085,YMR267W,0.65
Q0085,YEL051W,0.9
Q0085,YPL234C,0.9
Q0085,Q0275,0.808
Q0085,YLR203C,0.581
Q0085,YGR020C,0.9
Q0085,YOR332W,0.9
Q0085,YDL004W,0.9959
Q0085,YER154W,0.581
Q0085,YHR026W,0.9
Q0085,YOR270C,0.72
Q0085,YDR226W,0.9
Q0085,YDL185W,0.9
Q0085,YML081C-A,0.9959
Q0085,YBR011C,0.65
Q0085,YCL005W-A,0.72
Q0085,YBL099W,0.9959
Q0085,YDR298C,0.9853
Q0085,YJR121W,0.9959
Q0085,YDR322C-A,0.72
Q0085,YBR039W,0.9959
Q0085,Q0130,0.98852
Q0085,Q0080,0.98852
Q0085,YER170W,0.9
Q0085,YHR039C-A,0.9
Q0105,YGR062C,0.9
Q0105,YML030W,0.808
Q0105,YPL132W,0.9
Q0105,Q0250,0.9808
Q0105,YMR145C,0.9
Q0105,YOR065W,0.9853
Q0105,YMR080C,0.581
Q0105,YDL085W,0.9
Q0105,YJL003W,0.9324
Q0105,YJL045W,0.9
Q0105,YER141W,0.9
Q0105,Q0070,0.54
Q0105,YPR191W,0.9903
Q0105,Q0065,0.54
Q0105,YLR163C,0.54
Q0105,YFR033C,0.98
Q0105,YHR116W,0.9
Q0105,YHR086W,0.581
Q0105,YHR051W,0.9
Q0105,YJL166W,0.9912
Q0105,Q0275,0.9808
Q0105,Q0120,0.9
Q0105,YPL215W,0.581
Q0105,YKL148C,0.9
Q0105,YEL024W,0.9853
Q0105,YGR183C,0.98
Q0105,YLL041C,0.9
Q0105,YBL045C,0.9923
Q0105,YPL172C,0.9
Q0105,YLR038C,0.9
Q0105,YDR119W-A,0.72
Q0105,YER154W,0.581
Q0105,YDR529C,0.9912
Q0105,YMR256C,0.9808
Q0105,YJR048W,0.8
Q0105,YEL039C,0.8
Q0105,YDL067C,0.9
Q0105,YKL141W,0.9
Q0105,YLR395C,0.9
Q0105,Q0045,0.9297
Q0105,YDR231C,0.9296
Q0105,YLL018C-A,0.9
Q0105,Q0050,0.9
Q0105,YGL191W,0.9
Q0105,YDR178W,0.9
Q0105,Q0060,0.54
Q0105,YGR174C,0.581
Q0105,YNL052W,0.9
Q0105,YML120C,0.9
Q0105,YHR001W-A,0.9
Q0105,YDL044C,0.581
Q0105,YGL226W,0.54
Q0105,YBR120C,0.581
Q0105,YIL111W,0.9
Q0105,YGL187C,0.9808
Q0120,YGR062C,0.9
Q0120,YPL132W,0.9
Q0120,Q0250,0.9
Q0120,YMR145C,0.9
Q0120,YOR065W,0.9
Q0120,YDL085W,0.9
Q0120,YJL003W,0.9
Q0120,YJL045W,0.9
Q0120,YER141W,0.9
Q0120,YPR191W,0.9
Q0120,YFR033C,0.9
Q0120,YHR116W,0.9
Q0120,YHR051W,0.9
Q0120,YJL166W,0.9
Q0120,Q0275,0.9
Q0120,YKL148C,0.9
Q0120,YEL024W,0.9
Q0120,YGR183C,0.9
Q0120,YLL041C,0.9
Q0120,YBL045C,0.9
Q0120,YPL172C,0.9
Q0120,YLR038C,0.9
Q0120,YDR529C,0.9
Q0120,YMR256C,0.9
Q0120,YDL067C,0.9
Q0120,YKL141W,0.9
Q0120,YLR395C,0.9
Q0120,Q0045,0.9
Q0120,YDR231C,0.9143
Q0120,YLL018C-A,0.9
Q0120,YGL191W,0.9
Q0120,Q0050,0.9
Q0120,YDR178W,0.9
Q0120,Q0105,0.9
Q0120,YNL052W,0.9
Q0120,YML120C,0.9
Q0120,YHR001W-A,0.9
Q0120,YIL111W,0.9
Q0120,YGL187C,0.9271
Q0130,YMR203W,0.9
Q0130,YEL027W,0.72
Q0130,YIL022W,0.9
Q0130,YNL121C,0.9
Q0130,YOR065W,0.9
Q0130,YLR447C,0.72
Q0130,YKL016C,0.98852
Q0130,YNR001C,0.9
Q0130,YJL054W,0.9
Q0130,YDL120W,0.9
Q0130,YMR054W,0.72
Q0130,YOR020W-A,0.54
Q0130,YDR377W,0.944
Q0130,YPR020W,0.72
Q0130,YMR002W,0.9
Q0130,YPL078C,0.98852
Q0130,YNL070W,0.9
Q0130,YGR181W,0.9
Q0130,YBR127C,0.72
Q0130,YLR218C,0.9
Q0130,YMR267W,0.65
Q0130,YPL234C,0.72
Q0130,YGR020C,0.72
Q0130,YOR332W,0.72
Q0130,YNR017W,0.9
Q0130,YDL004W,0.944
Q0130,YBL059C-A,0.9
Q0130,YMR244C-A,0.9
Q0130,YJR045C,0.536
Q0130,YOR270C,0.72
Q0130,YDL185W,0.72
Q0130,YML081C-A,0.944
Q0130,YEL020W-A,0.9
Q0130,YNL055C,0.9
Q0130,YMR038C,0.9
Q0130,YLR259C,0.9
Q0130,YDR375C,0.9
Q0130,YDL217C,0.9
Q0130,YJR121W,0.9959
Q0130,YNL052W,0.9
Q0130,YPL063W,0.9
Q0130,YDR322C-A,0.72
Q0130,YBR039W,0.944
Q0130,YNL037C,0.9
Q0130,YGR033C,0.9
Q0130,YER170W,0.9
Q0130,YPL271W,0.944
Q0130,YOR045W,0.9
Q0130,YJR135W-A,0.9
Q0130,YMR056C,0.9
Q0130,YLR008C,0.9
Q0130,YOL077W-A,0.944
Q0130,YNR041C,0.9
Q0130,YKL080W,0.72
Q0130,YGR082W,0.9
Q0130,YLR295C,0.944
Q0130,YML054C,0.9
Q0130,YPR036W,0.72
Q0130,YLR163C,0.9
Q0130,YLR393W,0.808
Q0130,YEL051W,0.72
Q0130,YPR140W,0.9
Q0130,YHR051W,0.536
Q0130,YKR065C,0.9
Q0130,YLR203C,0.581
Q0130,YGL018C,0.9
Q0130,YHR005C-A,0.9
Q0130,YER154W,0.536
Q0130,YLR304C,0.9
Q0130,YPR133W-A,0.9
Q0130,YLL009C,0.9
Q0130,YHR026W,0.72
Q0130,YDL174C,0.9
Q0130,YOR232W,0.9
Q0130,YDR226W,0.9
Q0130,Q0085,0.98852
Q0130,YBR011C,0.65
Q0130,YJL104W,0.9
Q0130,YLL018C-A,0.9
Q0130,YCL005W-A,0.72
Q0130,YBL099W,0.9959
Q0130,YHR024C,0.9
Q0130,YDR298C,0.944
Q0130,YKL053C-A,0.9
Q0130,YDR031W,0.9
Q0130,Q0080,0.944
Q0130,YGL187C,0.9
Q0130,YNL131W,0.9
Q0130,YJL143W,0.9
Q0130,YHR039C-A,0.72
Q0140,YDR405W,0.8
Q0140,YNL005C,0.8
Q0140,YJL096W,0.8
Q0140,YPR100W,0.8
Q0140,YGL129C,0.98
Q0140,YDL045W-A,0.98
Q0140,YBR282W,0.8
Q0140,YGR215W,0.98
Q0140,YBR122C,0.8
Q0140,YOR150W,0.8
Q0140,YHL004W,0.9934000000000001
Q0140,YER154W,0.581
Q0140,YJL063C,0.8
Q0140,YJR045C,0.536
Q0140,YJR101W,0.98
Q0140,YMR158W,0.98
Q0140,YPL013C,0.98
Q0140,YFR049W,0.72
Q0140,YDR175C,0.98
Q0140,YPL173W,0.8
Q0140,YDR041W,0.98
Q0140,YPR166C,0.98
Q0140,YMR286W,0.8
Q0140,YDR237W,0.8
Q0140,YMR193W,0.8
Q0140,YMR188C,0.98
Q0140,YHR147C,0.8
Q0140,YCR003W,0.8
Q0140,YNL137C,0.98
Q0140,YER050C,0.98
Q0140,YBR146W,0.98
Q0140,YDR494W,0.98
Q0140,YCR046C,0.8
Q0140,YKL003C,0.98
Q0140,YNR022C,0.8
Q0140,YDR296W,0.8
Q0140,YBL090W,0.98
Q0140,YHR059W,0.8
Q0140,YLR439W,0.8
Q0140,YGR165W,0.98
Q0140,YJR113C,0.98
